Id,SalePrice
1461,132463.16
1462,142646.75
1463,173216.88
1464,183950.77
1465,198683.69
1466,178046.16
1467,160418.73
1468,156714.86
1469,179243.84
1470,114723.36
1471,178480.69
1472,85820.55
1473,95592.15
1474,147708.92
1475,128356.2
1476,389302.0
1477,265976.78
1478,285727.0
1479,272403.47
1480,455717.1
1481,307619.28
1482,208561.38
1483,162490.61
1484,172140.36
1485,164440.34
1486,196522.75
1487,333623.22
1488,258889.38
1489,208656.88
1490,185405.55
1491,198833.62
1492,104743.71
1493,176463.9
1494,295779.25
1495,288184.5
1496,200040.61
1497,181792.77
1498,144058.3
1499,144058.3
1500,132510.16
1501,162465.81
1502,152083.69
1503,282816.75
1504,223896.8
1505,208975.11
1506,171144.3
1507,233701.89
1508,178447.67
1509,156430.7
1510,137299.8
1511,135294.56
1512,153627.0
1513,133954.97
1514,147424.64
1515,236758.17
1516,158079.47
1517,159060.92
1518,147235.23
1519,209335.94
1520,122737.53
1521,129373.41
1522,168238.69
1523,109951.77
1524,126774.32
1525,121846.96
1526,113915.49
1527,102953.53
1528,134352.47
1529,136059.14
1530,167793.56
1531,103494.375
1532,107394.48
1533,142760.66
1534,127915.664
1535,166060.58
1536,112012.664
1537,75649.555
1538,150275.3
1539,185550.42
1540,87008.17
1541,143675.9
1542,139734.62
1543,204449.61
1544,85709.88
1545,97481.27
1546,125017.68
1547,137034.5
1548,134432.83
1549,104521.19
1550,126738.055
1551,119518.7
1552,135201.95
1553,137460.03
1554,119438.59
1555,161993.94
1556,82547.66
1557,96642.99
1558,87675.29
1559,74024.22
1560,144216.38
1561,116275.01
1562,134493.48
1563,109573.15
1564,145887.28
1565,153381.94
1566,233659.78
1567,77449.836
1568,205560.3
1569,129810.664
1570,145867.66
1571,127413.08
1572,141226.27
1573,247351.7
1574,108564.61
1575,206341.22
1576,200155.69
1577,198989.17
1578,135367.22
1579,145059.31
1580,200599.8
1581,141562.97
1582,126236.84
1583,322191.12
1584,241811.27
1585,140675.67
1586,82096.23
1587,101886.14
1588,132634.83
1589,102297.11
1590,134512.98
1591,97129.66
1592,129734.055
